h_km,P_bar,T_K,rho_obs_kg_m3,rho_modelo_viejo,factor_viejo,rho_modelo_nuevo,factor_nuevo
0.0,0.99971,72.0,4.359e-01,4.500e-01,1.032,4.500e-01,1.032
20.0,0.33498,55.3,1.837e-01,2.408e-02,0.131,1.522e-01,0.829
40.0,0.09865,52.1,5.446e-02,1.293e-03,0.024,5.152e-02,0.946
60.0,0.03085,57.9,1.533e-02,2.536e-04,0.017,1.856e-02,1.211
100.0,0.00497,83.5,1.712e-03,1.298e-04,0.076,2.737e-03,1.599
150.0,0.00097,110.6,2.519e-04,5.618e-05,0.223,2.498e-04,0.992
200.0,0.00026,133.1,5.719e-05,2.432e-05,0.425,7.206e-05,1.260
249.9,0.00009,151.0,1.675e-05,1.054e-05,0.630,2.083e-05,1.244
300.0,0.00003,158.9,5.777e-06,4.558e-06,0.789,5.998e-06,1.038
